Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
75152488,33410,33947
75156065,33206,33362
75159642,32911,34234
75163219,33926,33743
75166796,33959,34129
75170374,33091,33277
75173951,33420,33731
75177531,33961,33049
75181107,33373,34554
75184687,33488,32002
75188263,32620,33288
75191841,32900,33473
75195418,33858,34451
75198995,33736,34405
75202576,33131,33667
75206155,33589,32971
75209732,33070,33082
75213309,33180,33517
75216887,33199,34257
75224294,33889,33216
75227873,32725,34267
75231452,33592,32635
75235029,32912,33972
75238605,32380,33921
75242185,32727,33827
75245764,32695,33883
75249340,32787,33532
75252917,32336,33132
75256496,33266,34174
75260074,33548,33859
75263652,33166,34073
75267230,33184,34536
75270806,33918,34134
75274383,32629,33929
75277961,33450,33491
75281540,32358,33425
75285117,32807,33875
75288694,33093,33641
75292273,33644,33876
75295850,32643,34158
75299426,33144,33924
75303005,32437,33831
75310415,32656,34132
75313991,33769,32971
75317571,33080,33554
75321148,33167,33800
75324727,34004,33613
75328305,34052,34383
75331882,33236,33759
75335460,32909,33258
75339038,33922,32976
75342615,33300,33626
75346193,32673,33783
75349771,32855,33452
75353350,32405,34042
75356927,32766,32809
75360505,33542,33396
75364084,33141,34499
75367662,33546,34446
75371239,33797,34548
75374815,33735,33359
75378394,33974,34013
75381972,33853,33922
75385552,32980,33961
75389129,33576,33596
75392706,32583,33640
75400109,32540,33825
75403687,33718,33981
75407263,33508,32684
75410843,33193,34383
75414420,33339,33110
75417997,33268,33967
75421579,33101,33504
75425156,32462,34372
75428732,33515,34563
75432310,32833,34104
75435890,33903,34577
75439468,32206,34190
75443048,33678,33703
75446624,32918,32490
75450201,33457,33931
75453777,33548,33808
75457355,33743,34005
75460933,32373,33492
75464511,33632,33952
75468088,33664,34057
75471667,33522,32522
75475244,33617,33929
75478820,33323,34123
75486216,33199,33273
75489793,32955,32978
75493370,33270,34117
75496946,33665,33899
75500526,33930,33159
75504103,34021,33911
75507680,33257,33354
75511258,34100,33299
75514834,33212,32787
75518411,33306,34598
75521988,33309,34259
75525567,32949,32892
75529144,32640,33727
75532720,33832,34513
75536299,32703,33487
75539875,33606,34231
75543453,32964,34420
75547031,33917,34027
75550607,33604,34396
75554186,33864,34115
75557764,33890,32883
75561340,33465,33758
75564917,33334,34025
75572318,33098,34035
75575895,33668,34570
75579475,33756,34127
75583054,33648,34503
75586630,33975,33923
75590207,34109,34678
75593785,33035,33823
75597362,33053,34321
75600941,33507,34192
75604520,32651,34352
75608099,33639,34351
75611677,33544,34210
75615255,33843,33989
75618832,33478,33562
75622409,32637,34343
75625988,33675,33378
75629567,33247,34189
75633144,33530,33891
75636721,33924,33946
75640299,34032,33942
75643876,33401,34332
75647455,33190,33245
75651033,33518,33497
75658453,33484,33603
75662029,33162,34086
75665606,33640,34101
75669185,33081,34349
75672763,32200,33768
75676339,33655,33953
75679915,33948,33981
75683496,33710,34035
75687075,32919,33382
75690651,33532,34666
75694227,33523,33656
75697804,33031,34684
75701382,33129,33839
75704958,33705,33946
75708537,33232,34224
75712115,33510,33797
75715693,33670,34364
75719272,33850,34313
75722850,33549,34401
75726426,32633,33607
75730004,33385,33886
75733580,33222,33654
75737160,32244,33871
75740736,32801,34103
75748153,33852,34020
75751730,33080,34054
75755307,32844,34244
75758885,33662,34518
75762463,33980,33901
75766040,33438,33960
75769616,33350,34165
75773196,33228,33747
75776775,32843,32801
75780353,33169,33821
75783929,33405,33202
75787508,33477,33961
75791087,33646,34174
75794666,33646,34153
75798244,33831,34105
75801821,33266,33951
75805397,34047,33181
75808974,33141,33461
75812553,33627,34373
75816131,33612,33837
75819707,33575,33987
75823284,32739,34545
75826863,32735,33479
75834137,32476,33485
75837714,33549,34498
75841292,33359,34054
75844869,33626,34188
75848448,33787,34431
75852023,33580,33642
75855600,34037,33355
75859179,33409,33629
75862755,33398,34270
75866333,33920,34510
75869910,33103,33128
75873491,33581,34107
75877066,33442,33273
75880642,33343,34008
75884218,33869,34340
75887796,34066,34232
75891376,33516,34241
75894952,33946,34582
75898532,32817,33697
75902107,33246,34240
75905685,33472,34301
75909262,33068,33706
75912841,33189,33626
75920089,33677,33696
75923669,34131,34024
75927244,33096,33983
75930821,33708,34142
75934398,32678,34060
75937975,32271,34077
75941553,33406,33988
75945129,33170,33963
75948706,33356,33657
75952284,33031,33857
75955862,32964,33298
75959441,31827,33585
75963018,32754,33555
75966595,33436,32985
75970173,33474,34238
75973750,33256,34371
75977327,33134,33831
75980905,33540,34594
75984482,33572,33384
75988061,33434,34569
75991638,33912,33550
75995215,33589,33869
75998791,33762,34503
76006207,33362,33015
76009786,33949,33944
76013364,33301,34310
76016942,33144,33683
76020521,33211,34482
76024101,32186,32963
76027677,32451,34027
76031256,33691,34625
76034834,33064,34511
76038409,33900,33213
76041987,32770,34242
76045568,32386,33817
76049146,33293,34152
76052723,34062,33866
76056299,34101,34201
76059876,33632,33854
76063454,33548,34245
76067031,32828,32875
76070607,33399,33581
76074185,33669,33982
76077764,33681,33692
76081340,32555,34026
76084917,32733,34343
76088496,33267,34563
76095914,33060,33844
76099494,33180,33437
76103072,33383,33373
76106651,33590,34048
76110228,33542,33995
76113804,33559,32609
76117382,33319,33360
76120961,33971,34070
76124540,32386,34330
76128115,33476,33868
76131692,33853,33991
76135271,34060,34690
76138848,33617,33817
76142425,33470,33740
76146002,33160,34649
76149579,33497,34034
76153156,32732,33696
76156732,33550,33498
76160310,33631,34208
76163890,33482,34010
76167468,33582,34548
76171048,32056,33537
76174622,33025,33740
76182018,32789,33397
76185595,32999,34060
76189173,33301,34060
76192750,33313,32452
76196327,33588,33830
76199905,32681,33519
