Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
80236055,80238025,33313,34188
80238680,80240654,33535,33972
80241310,80243284,33132,33609
80243939,80245909,33371,33780
80250471,80252443,33427,33864
80253100,80255074,34018,33764
80255729,80257699,32941,33154
80258354,80260326,33222,33451
80260981,80262952,32692,33119
80263607,80265580,34031,34222
80266235,80268207,32910,32742
80268862,80270833,33703,34090
80271488,80273459,33419,33794
80274116,80276087,33537,33664
80276742,80278712,32999,34015
80279368,80281339,33541,33750
80281994,80283967,32356,34200
80284621,80286594,32765,33956
80287249,80289220,33284,33560
80289875,80291847,33596,34236
80292502,80294475,33085,33767
80299013,80300986,32812,32874
80301641,80303612,33465,34306
80304267,80306239,33653,33446
80306893,80308866,33557,33790
80309521,80311494,32736,34486
80312151,80314120,31828,34237
80314775,80316748,33283,33425
80317402,80319375,33395,33886
80320032,80322005,33304,33214
80322659,80324632,33383,34091
80325287,80327261,33590,33652
80327916,80329890,33267,33666
80330544,80332516,33840,33879
80333171,80335142,33978,34381
80335797,80337770,32859,34409
80338425,80340398,33926,34245
80344803,80346776,33381,32331
80347431,80349402,32708,33263
80350059,80352031,33806,34116
80352685,80354656,33224,33585
80355311,80357284,33575,34483
80357939,80359909,33211,34133
80360564,80362536,33676,34336
80363190,80365163,33254,33883
80365818,80367792,33331,34483
80368447,80370417,32817,33549
80371074,80373045,33385,33503
80373700,80375673,33191,33137
80376328,80378300,33249,33885
80378955,80380928,33395,34096
80381582,80383557,33135,33862
80384212,80386186,33584,33529
80386840,80388812,33262,34154
80393379,80395351,32575,34372
80396008,80397981,33393,33871
80398636,80400608,33611,34607
80401263,80403236,32610,34023
80403891,80405864,33515,32334
80406519,80408491,33000,34669
80409147,80411120,32942,33954
80411775,80413747,33534,33919
80414402,80416375,33327,32905
80417031,80419004,34070,33727
80419659,80421632,33484,33428
80422287,80424262,33570,34559
80424917,80426890,33214,33980
80427544,80429516,32471,34204
80430171,80432142,32790,33721
80432797,80434770,33371,33683
80439351,80441322,32290,33787
80441977,80443951,32451,34354
80444606,80446580,32605,33271
80447235,80449205,33536,34582
80449860,80451831,32779,33905
80452487,80454459,33540,34081
80455115,80457087,33541,34232
80457743,80459714,32813,34418
80460369,80462340,34008,33925
80462995,80464968,33638,33264
80465623,80467595,32890,34227
80468250,80470221,33307,33889
80470876,80472849,33820,33918
80473503,80475476,33694,34120
80476133,80478104,33431,34070
80478760,80480731,33418,33259
80481387,80483360,32440,33546
80487946,80489918,33197,33158
80490574,80492547,33320,34080
80493201,80495173,33925,34362
80495828,80497799,33245,34119
80498454,80500426,33641,34235
80501083,80503056,34130,33190
80503711,80505683,34021,34461
80506338,80508309,33841,33548
80508964,80510935,34070,33241
80511591,80513565,32953,34009
80514220,80516193,33592,33807
80516849,80518820,33183,33333
80519475,80521446,33837,34635
80522103,80524076,33190,34541
80524731,80526702,32539,34042
80527357,80529327,33235,33742
80533896,80535868,33794,34292
80536524,80538497,33475,34259
80539154,80541125,32964,34082
80541780,80543754,33036,34001
80544409,80546382,33021,34148
80547039,80549011,32723,34050
80549666,80551637,33807,34291
80552292,80554263,33530,34623
80554918,80556890,33956,34383
80557545,80559516,34055,33027
80560172,80562143,33012,33185
80562798,80564771,33664,34162
80565426,80567398,33586,34212
80568055,80570027,33956,34397
80570682,80572656,32842,33875
80573311,80575284,33596,34098
80575939,80577909,33246,34230
80587666,80589637,33377,34210
80590291,80592262,33592,33896
80592917,80594890,33041,34221
80595546,80597517,33503,34301
80598173,80600144,33410,34029
80600799,80602772,33258,33954
80603426,80605399,33379,32665
80606056,80608027,33967,34076
80608682,80610655,32540,33823
80611311,80613284,33954,33991
80613939,80615910,32668,34390
80616565,80618537,33810,34149
80619192,80621163,32991,34228
80621818,80623792,32982,32992
80624447,80626417,33669,34310
80627074,80629046,33279,33010
80633597,80635570,33503,32686
80636226,80638199,33475,33686
80638854,80640826,33990,34177
80641481,80643454,33517,34614
80644111,80646083,33241,33965
80646738,80648710,33970,33217
80649364,80651337,32510,33759
80651992,80653965,32993,33708
80654620,80656593,33336,33982
80657248,80659216,32011,34347
80659871,80661844,33608,33584
80662499,80664472,33619,33766
80665128,80667103,33137,34515
80667758,80669731,32915,33950
80670386,80672360,33296,32886
80673017,80674989,32943,33424
80675644,80677615,33722,33239
80682142,80684113,33703,33738
80684768,80686739,33574,33702
80687394,80689368,33779,32833
80690025,80691996,33887,34227
80692651,80694622,32740,34109
80695276,80697247,33091,33564
80697902,80699875,33446,33914
80700530,80702500,33494,33970
80703155,80705127,33932,32965
80705782,80707754,32997,33466
80708409,80710383,33650,33843
80711040,80713010,32318,33933
80713665,80715636,33016,34492
80716292,80718262,32855,32981
80718917,80720890,33556,34514
80721546,80723517,33441,34083
80724173,80726144,33230,33735
80730543,80732514,33414,33015
80733169,80735140,33654,33464
80735795,80737768,33436,33360
80738423,80740396,32865,34112
80741053,80743024,33224,34245
80743679,80745652,33593,32717
