Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
66856568,33154,34458
66859146,33805,32728
66861723,32957,33685
66864301,33905,34117
66866878,34001,34106
66869455,33822,34252
66872031,33678,33622
66874608,33686,34447
66881064,33308,32678
66883641,32777,33908
66886218,33820,34608
66888795,32543,33619
66891374,32722,34294
66893950,32945,34055
66896530,33101,33947
66899107,33625,33914
66901685,33712,33039
66904261,33914,33855
66906838,33890,33247
66909415,32410,34497
66911992,33351,32485
66914572,33406,34375
66917149,33172,34077
66919728,32649,33659
66922305,32340,34335
66924883,33414,33085
66927460,32362,33803
66930039,34011,34334
66932615,32978,34245
66935194,32247,34314
66937775,33532,34144
66944225,32832,33303
66946802,33715,33851
66949382,33237,33968
66951960,32269,33249
66954540,32240,34141
66957116,33034,33508
66959693,33191,34284
66962272,33530,34149
66964848,33703,34230
66967426,33269,34536
66970005,33610,34601
66972581,32967,33775
66975159,33600,33998
66977736,33528,33869
66980314,32596,34190
66982891,33671,34163
66985470,33845,34475
66988048,33312,34526
66990625,33463,33706
66993201,32749,34132
66995778,33349,32248
66998357,33659,33405
67000934,33461,34091
67007254,33555,34020
67009831,33322,33993
67012408,34077,34543
67014986,33654,33700
67017567,33365,33498
67020144,33596,33422
67022721,33632,34156
67025299,33354,33883
67027876,32607,34493
67030455,32716,33682
67033031,33185,33530
67035608,33156,34249
67038185,33165,34094
67040764,33592,33896
67043340,33602,33344
67045917,33362,34377
67048496,32278,33815
67051074,33165,33983
67053652,32709,34585
67056228,33077,34566
67058805,33602,33318
67061382,34186,34301
67063961,33274,34262
67070266,34010,33982
67072845,33236,32632
67075422,33727,33442
67077999,33871,33402
67080579,33436,33026
67083156,32868,33415
67085734,32117,33285
67088311,34035,33990
67090890,33639,34411
67093468,32826,33446
67096045,33294,33862
67098622,33900,33261
67101201,32848,33972
67103778,33060,33882
67106357,32574,33974
67108933,33699,33049
67111511,34024,34577
67114088,32647,34493
67116667,32509,33593
67119245,33711,33141
67121825,33301,34203
67124401,33345,34131
67126980,33367,34216
67129557,33919,34283
67136014,32841,34085
67138593,33264,33267
67141171,33297,33927
67143749,33245,34551
67146327,32605,34504
67148904,33704,33250
67151483,33190,33907
67154062,33545,34309
67156639,33609,33885
67159215,33379,34340
67161791,33443,34082
67164370,33500,33978
67166947,33359,34173
67169526,33999,34482
67172102,32899,33690
67174679,32708,33894
67177258,33560,33762
67179834,34102,33684
67182411,33377,34290
67184988,32606,33870
67187569,33055,34640
67190146,33223,34072
67192723,33973,33739
67199197,34019,33838
67201775,34013,33965
67204353,33615,33436
67206929,32952,33482
67209508,33605,33243
67212087,32927,34586
67214665,33023,34547
67217244,33504,34580
67219821,33972,33385
67222398,33311,33712
67224975,33054,33648
67227553,32651,33959
67230131,32999,34278
67232707,31985,33643
67235284,33314,34470
67237863,33974,33516
67240441,34028,33994
67243018,32310,34191
67245595,32510,33916
67248173,32822,34215
67250750,33228,33910
67253327,32792,34652
67255904,32986,34709
67262343,33504,34536
67264920,33232,34103
67267498,33479,34582
67270077,33704,34057
67272655,33941,32059
67275231,33984,33856
67277808,33269,33726
67280384,32940,33735
67282964,33359,33262
67285543,32962,33961
67288120,32933,34237
67290696,33587,34062
67293276,33669,33803
67295852,32713,34301
67298431,33184,33740
67301006,33157,33791
67303583,33861,34430
67306160,33215,34360
67308737,32393,34283
67311314,33755,33901
67313891,31905,34008
67316469,32732,33494
67319047,32810,34378
67325481,33568,33371
67328059,33086,33846
67330637,33030,33540
67333214,33461,34012
67335791,32990,33791
67338365,33598,34561
67340944,33238,34261
67343523,33286,33638
67346101,33430,34390
67348677,32473,33831
67351256,32546,34517
67353834,32339,34010
67356409,33056,33897
67358988,33483,33735
67361568,33187,34249
67364146,33549,34030
67366723,32889,34366
67369301,32862,34166
67371877,33087,34471
67374455,33317,33891
67377033,33861,34541
67379610,33547,34269
67382186,33688,33349
67384765,33464,34356
67391224,33650,34109
67393801,33956,34244
67396379,32260,33949
67398958,33515,33708
67401537,33876,33001
67404114,33597,34608
67406692,32886,33167
67409271,33911,33917
67411848,33277,33837
67414425,34034,34444
67417004,33897,33302
67419581,32853,33927
67422160,33478,33971
67424736,33854,33779
67427312,33923,34631
67429889,33781,34026
67432468,33251,33873
67435048,33094,34321
67437625,32329,33935
67440201,33927,34490
67442778,33807,34429
67445357,33062,34043
67447933,33216,34499
67455955,33198,33164
67458534,33888,34253
67461111,33365,33057
67463690,33646,33761
67466267,32860,34078
67468845,33898,32595
67471422,32783,34210
67474001,33130,34534
67476578,33864,34220
67479156,32892,34103
67481734,33228,33948
67484311,33729,34322
67486890,33389,33228
67489468,33363,34681
67492048,33652,34525
67494624,32838,33938
67497201,32672,33583
67499777,33390,33622
67502356,32489,34207
67504932,33457,34026
67507511,33354,32873
67510087,33040,34494
67512666,33581,34611
67520108,33511,34134
67522686,33233,34541
67525262,33130,34083
67527841,33077,34584
67530416,33158,34202
67532993,33252,33087
67535573,32608,33331
67538150,33255,34578
67540728,33718,33491
67543305,33274,34470
67545883,32965,34183
67548459,32035,33295
67551038,33145,33404
67553615,33498,33551
67556193,33286,34157
67558772,32788,34130
67561350,33605,33791
67563927,33751,33973
67566506,33349,33448
67569083,32526,34103
67571659,33478,33783
67574237,33794,33901
67576814,33797,34188
67579393,33053,34170
67585693,33924,34089
67588271,33709,33847
67590848,33732,33770
67593425,32067,34170
67596004,33965,33529
67598580,33354,34077
67601158,33969,34037
67603736,33965,33332
67606312,33245,32870
67608889,34113,33832
67611468,33353,33547
67614044,33990,33591
67616621,33713,33711
67619200,32781,33700
67621776,33069,34303
