Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
44028433,6914,7222
44031021,6436,6464
44033612,6212,6476
44036208,6284,6538
44038798,6174,6440
44041390,6268,6392
44043983,6196,6574
44046572,6422,6298
44049162,6292,6298
44051753,6330,6640
44054343,6376,6578
44056935,6182,6422
44059524,6502,6382
44062115,6382,6432
44064705,6192,6554
44067300,6490,6622
44069895,6346,6334
44072485,6380,6412
44075077,6212,6432
44077670,6168,6518
44080260,6170,6420
44137133,6650,7158
44139723,6716,6550
44142318,6206,6310
44144906,6454,6518
44147499,6352,6412
44150088,6202,6494
44152679,6246,6442
44155268,6326,6610
44157856,6330,6398
44160449,6400,6592
44163038,6220,6296
44165631,6262,6548
44168223,6268,6540
44170817,6344,6428
44173408,6394,6384
44176002,6426,6664
44178594,6420,6596
44181185,6218,6734
44183777,6428,6582
44186371,6364,6770
44188962,6190,6540
44191552,6294,6542
44194139,6238,6492
44196731,6274,6544
44199320,6290,6372
44201949,6280,6484
44204543,6356,6516
44207135,6442,6622
44209726,6482,6338
44212316,6482,6492
44214910,6278,6404
44217500,6288,6518
44220094,6376,6680
44222684,6414,6438
44225274,6236,6516
44227867,6282,6432
44230458,6226,6564
44233044,6322,6342
44235633,6400,6438
44238226,6330,6670
44240814,6350,6408
44243403,6292,6508
44245995,6484,6374
44248585,6288,6436
44251174,6312,6444
44253765,6354,6436
44256354,6170,6456
44258947,6226,6604
44261541,6420,6360
44264130,6260,6564
44266719,6366,6318
44269338,6228,6440
44271925,6394,6458
44274516,6494,6466
44277106,6366,6416
44279694,6150,6326
44282287,6352,6486
44284880,6380,6658
44287472,6366,6594
44290064,6364,6508
44292654,6286,6350
44295245,6324,6444
44297837,6168,6544
44300430,6372,6538
44303023,6352,6604
44305610,6290,6410
44308200,6392,6572
44310789,6444,6474
44313379,6282,6510
44315973,6230,6584
44318564,6342,6464
44321154,6422,6438
44323743,6440,6502
44326333,6444,6674
44328923,6428,6590
44331514,6266,6492
44334105,6402,6530
44336734,6334,6630
44339324,6380,6402
44341916,6432,6506
44344508,6296,6442
44347100,6338,6450
44349692,6412,6452
44352282,6452,6510
44354873,6222,6594
44357462,6376,6494
44360052,6350,6636
44362643,6238,6574
44365232,6282,6504
44367825,6322,6414
44370415,6300,6404
44373008,6204,6412
44375596,6302,6406
44378190,6428,6502
44380781,6290,6424
44383372,6278,6518
44385961,6374,6434
44388550,6258,6538
44391136,6410,6486
44393730,6346,6500
44396319,6286,6426
