Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
41242915,6846,7708
41246506,6268,6392
41250093,6394,6490
41253682,6290,6574
41257275,6402,6496
41260870,6456,6398
41264461,6492,6598
41268053,6362,6848
41271643,6462,6424
41275233,6480,6438
41278824,6476,6626
41282415,6278,6464
41286008,6520,6636
41289596,6296,6602
41293185,6368,6472
41296773,6382,6420
41300364,6274,6618
41303953,6340,6646
41307546,6406,6704
41311136,6330,6478
41314725,6298,6390
41371537,6788,7284
41375129,6336,6630
41378717,6192,6524
41382310,6300,6492
41385897,6422,6644
41389491,6394,6594
41393083,6458,6678
41396678,6382,6676
41400266,6238,6584
41403859,6354,6686
41407448,6312,6602
41411043,6286,6524
41414632,6282,6430
41418221,6418,6488
41421811,6304,6654
41425402,6230,6682
41428995,6516,6412
41432581,6374,6346
41436173,6416,6430
41439765,6308,6510
41443353,6378,6490
41446948,6372,6448
41450536,6392,6438
41454127,6420,6618
41457719,6372,6518
41506730,6660,7310
41510321,6306,6550
41513911,6278,6486
41517502,6210,6472
41521093,6216,6504
41524683,6294,6578
41528277,6302,6476
41531868,6314,6542
41535462,6312,6616
41539054,6308,6584
41542647,6566,6482
41546234,6248,6470
41549824,6326,6480
41553413,6308,6436
41557008,6366,6494
41560600,6408,6564
41564189,6348,6554
41567782,6370,6570
41571372,6292,6392
41574967,6414,6512
41578552,6216,6550
41582142,6320,6486
41585733,6334,6394
41589322,6334,6378
41592916,6502,6426
41596506,6218,6390
41600124,6242,6612
41603715,6178,6486
41607306,6326,6510
41610896,6348,6388
41614489,6282,6454
41618079,6370,6350
41621669,6256,6550
41625258,6380,6444
41628848,6336,6390
41632438,6240,6686
41636024,6340,6606
41639615,6252,6580
41643206,6224,6724
41646797,6392,6482
41650391,6526,6488
41653983,6504,6580
41657572,6450,6396
41661160,6342,6504
41664749,6230,6490
41668339,6292,6564
41671930,6384,6632
41675519,6538,6588
41679112,6264,6386
41682700,6228,6416
41686288,6302,6340
41689879,6364,6452
41693505,6336,6500
41697099,6376,6656
41700693,6516,6482
41704280,6310,6574
41707869,6588,6536
41711458,6482,6532
41715051,6214,6462
41718641,6314,6706
41722229,6302,6418
41725821,6406,6422
41729411,6368,6394
41733003,6272,6328
41736598,6252,6476
41740189,6452,6512
41743781,6626,6430
41747370,6270,6552
41750958,6324,6434
41754547,6302,6698
41758137,6392,6432
41761728,6308,6386
41765320,6308,6540
41768915,6242,6690
41772506,6470,6412
41776094,6432,6524
41779683,6304,6444
41783301,6504,6478
41786892,6446,6486
41790481,6342,6510
41794072,6300,6528
41797662,6314,6546
41801255,6512,6414
41804841,6310,6442
41808432,6372,6500
41812026,6504,6406
41815612,6318,6500
41819205,6296,6594
41822798,6304,6442
41826384,6270,6508
41829971,6322,6424
41833559,6490,6432
41837153,6294,6406
41840743,6416,6522
41844334,6210,6544
41847926,6368,6474
41851518,6350,6404
41855111,6288,6638
41858704,6472,6440
41862294,6276,6368
41865882,6424,6334
41869469,6534,6502
41873059,6496,6500
41876681,6420,6368
41880274,6346,6512
41883868,6278,6470
41887459,6202,6480
41891049,6198,6354
41894638,6444,6438
41898236,6268,6406
41901826,6380,6546
41905414,6504,6652
41909004,6352,6502
41912593,6312,6610
41916177,6310,6432
41919769,6556,6340
41923358,6358,6448
41926946,6250,6556
41930537,6220,6808
41934128,6380,6416
41937719,6472,6442
41941313,6710,6442
41944903,6262,6534
41948495,6268,6570
41952084,6572,6420
41955678,6332,6354
41959266,6328,6520
41962855,6374,6534
41966476,6286,6540
41970066,6284,6352
41973660,6736,6594
41977252,6310,6396
41980842,6476,6472
41984433,6254,6610
41988021,6306,6494
41991613,6368,6440
41995203,6342,6584
41998795,6266,6414
42002384,6546,6586
42005972,6314,6410
42009565,6368,6576
42013156,6286,6502
42016744,6480,6560
42020332,6260,6580
42023922,6432,6518
42027514,6244,6342
42031106,6348,6392
42034694,6342,6424
42038285,6314,6494
42041873,6414,6420
42045464,6210,6508
42049055,6350,6686
42052643,6456,6586
42056233,6378,6506
42059928,6282,6638
42063520,6316,6534
42067110,6376,6404
42070701,6434,6484
42074291,6350,6480
42077882,6428,6436
42081471,6296,6508
42085061,6320,6512
42088653,6252,6492
42092244,6514,6506
42095835,6498,6386
42099426,6416,6558
42103013,6372,6612
42106605,6376,6560
42110197,6358,6546
42113787,6470,6314
42117378,6346,6412
42120966,6246,6576
42124557,6224,6544
42128147,6202,6442
42131735,6368,6386
42135326,6336,6552
42138914,6296,6512
42142506,6272,6408
42146101,6340,6366
42149691,6326,6492
42203566,6666,7196
42207154,6240,6520
42210744,6326,6466
42214335,6256,6656
42217925,6254,6570
42221518,6502,6426
42225106,6348,6656
42228693,6316,6460
42232283,6288,6514
42235872,6376,6416
42239462,6404,6510
42243054,6318,6416
42246644,6178,6490
42250236,6226,6696
42253827,6504,6516
42257416,6298,6560
42261008,6526,6566
42264596,6348,6422
42268187,6474,6426
42271777,6458,6380
42275368,6284,6474
42278959,6416,6766
42282548,6372,6612
42286139,6554,6610
42289725,6386,6448
42293350,6362,6516
42296938,6318,6534
42300528,6436,6494
42304121,6452,6714
42307711,6316,6600
42311305,6286,6670
42314894,6320,6544
42318483,6310,6384
42322074,6386,6506
42325666,6394,6612
42329256,6432,6428
42332849,6328,6462
42336439,6554,6710
42340027,6248,6512
42343620,6430,6570
42347210,6274,6474
42350799,6410,6388
42354388,6218,6534
42357978,6576,6588
42361570,6406,6378
42365160,6344,6408
42368754,6444,6428
42372348,6690,6430
42375937,6548,6590
42379528,6428,6474
42383122,6342,6690
42386742,6568,6534
42390334,6314,6618
42393922,6410,6504
42397512,6316,6540
42401105,6408,6490
42404697,6512,6642
42408286,6272,6586
42411874,6330,6404
42415465,6360,6550
42419056,6458,6514
42422646,6312,6366
42426234,6430,6552
42429824,6380,6478
42433414,6568,6776
42437003,6462,6380
42440592,6446,6724
42444182,6396,6550
42447770,6394,6478
42451357,6402,6354
42454947,6444,6512
42458538,6400,6372
42462130,6388,6366
42465722,6288,6662
42469313,6310,6700
42472905,6444,6394
42476531,6242,6608
42480123,6192,6544
42483715,6480,6476
42487304,6354,6432
42490895,6382,6710
42494488,6294,6486
42498079,6360,6428
42501672,6286,6662
42505262,6340,6578
42508853,6238,6634
42512444,6242,6396
42516034,6314,6604
42519627,6216,6478
42523218,6424,6582
42526808,6446,6544
42530396,6338,6510
42533987,6280,6504
42537580,6314,6514
42541172,6210,6622
42544762,6318,6464
42548351,6400,6470
42551938,6254,6546
42555531,6406,6646
42559119,6292,6610
42562713,6410,6446
42566306,6286,6568
42569923,6378,6550
42573513,6564,6442
42577106,6516,6560
42580699,6548,6470
42584287,6492,6568
42587876,6490,6510
42591468,6456,6534
42595060,6308,6560
42598649,6386,6542
42602240,6362,6718
42605834,6276,6770
42609421,6366,6550
42613010,6300,6488
42616602,6348,6348
42620190,6352,6484
42623785,6440,6756
42627376,6688,6466
42630968,6374,6542
42634563,6276,6668
42638152,6322,6432
42641742,6448,6622
42645330,6320,6370
42648921,6234,6394
42652512,6358,6822
42656103,6478,6604
42659694,6386,6516
42712468,6790,7138
42716060,6326,6510
42719652,6214,6560
42723243,6426,6662
42726833,6528,6480
42730419,6364,6440
42734011,6418,6618
42737596,6272,6444
42741187,6300,6566
42744778,6424,6486
42748367,6450,6550
42751958,6448,6572
42755548,6238,6342
42759136,6514,6586
42762723,6210,6400
42766314,6320,6544
42769904,6406,6368
42773494,6380,6492
42777086,6300,6550
42780678,6306,6450
42784273,6384,6538
42787863,6382,6540
42791453,6396,6398
42795044,6272,6490
42798629,6430,6428
42802246,6378,6356
42805840,6242,6490
42809429,6258,6422
42813023,6310,6374
42816615,6236,6536
42820205,6498,6704
42823795,6334,6672
42827384,6348,6618
42830973,6334,6342
42834568,6356,6454
42838159,6326,6526
42841747,6464,6514
42845337,6372,6522
42848933,6342,6564
42852523,6454,6428
42856115,6262,6522
42859708,6396,6736
42863300,6344,6522
42866890,6458,6556
42870477,6458,6514
42874067,6418,6542
42877658,6378,6362
42881242,6252,6418
42884835,6376,6418
42888427,6614,6508
42892019,6384,6576
42895643,6426,6610
42899237,6244,6486
42902826,6556,6514
42906416,6394,6682
42910005,6320,6504
42913597,6716,6568
42917191,6460,6346
42920782,6304,6476
42924376,6364,6508
42927963,6372,6556
42931553,6266,6548
42935144,6302,6714
