Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
76064828,33389,34414
76067406,33550,34524
76069986,33587,33038
76072566,33300,33678
76075144,32912,34401
76077721,33197,34256
76080299,33256,33220
76082876,33072,32704
76085454,33762,34158
76088031,33196,33295
76090607,33495,33100
76093185,33073,33458
76095763,33392,33003
76098342,33722,33489
76100920,33360,34117
76103498,33211,34026
76106077,33804,33895
76108655,34068,33763
76111235,32634,34508
76117639,32579,32851
76120216,33890,32493
76122793,33784,34132
76125372,33309,34175
76127949,32354,33910
76130530,33388,34002
76133107,33125,34282
76135687,33278,32814
76138264,32977,33300
76140843,33672,33877
76143421,33052,34527
76145998,33426,33875
76148579,33600,33418
76151156,33117,33883
76153733,33598,34596
76156310,33956,33724
76158889,33171,34559
76161467,32808,33638
76164044,33882,33595
76166621,32127,34018
76169200,33640,34258
76171776,33987,34473
76174355,33713,34475
76180768,32967,33148
76183344,33537,34465
76185923,32971,34295
76188502,33376,33338
76191080,33249,33807
76193657,32349,32837
76196235,32428,33642
76198812,33645,34255
76201391,33452,33436
76203972,33482,34474
76206552,32827,34192
76209129,32922,34611
76211706,32984,33519
76214284,32705,33733
76216863,33034,33199
76219441,33606,34021
76222018,33430,33815
76224594,33744,34120
76227173,32776,33801
76229750,33105,33756
76232327,34106,33824
76234904,33624,34715
76237483,33664,32879
76240062,33949,33821
76246480,32468,34040
76249059,33159,33384
76251637,33303,33588
76254215,31326,32687
76256791,33529,33668
76259370,33895,34623
76261947,32919,33436
76264525,33305,32804
76267102,33925,33311
76269679,33506,34468
76272258,33135,33750
76274834,32826,33406
76277411,33063,33828
76279988,32931,33476
76282569,32932,34157
76285146,33835,34438
76287726,33577,33526
76290303,33469,33404
76292881,33188,33328
76295458,33872,33030
76298035,33361,34369
76300611,33782,34057
76303188,32991,34098
76309592,33590,34671
76312169,32962,34585
76314747,33863,34469
76317323,32743,34213
76319900,33358,33168
76322480,33823,34226
76325059,33079,33731
76327637,33378,33592
76330215,33454,34463
76332791,34001,34207
76335370,33020,33375
76337947,33168,33056
76340525,32498,32926
76343102,34110,34316
76345679,33215,33618
76348258,33875,33889
76350834,33286,33332
76353411,32377,33585
76355988,33606,32980
76358568,33173,34210
76361146,33574,33863
76363726,33237,33288
76366303,33189,34156
76372701,33041,33482
76375280,33542,33788
76377859,33645,33906
76380436,33839,33808
76383014,33302,34429
76385593,33511,34581
76388171,33158,34530
76390750,32536,34370
76393327,32728,33328
76395904,33217,34001
76398482,33265,33466
76401061,33524,33861
76403638,32477,33647
76406215,33382,33908
76408791,32893,33833
76411370,33026,32836
76413946,33887,34037
76416526,32445,34294
76419103,32239,33776
76421680,33186,34619
76424257,33106,33746
76426834,33146,34228
76429411,33389,33140
76435821,33500,33937
76438398,33864,33683
76440975,33171,33446
76443554,33119,34450
76446131,33671,34119
76448708,33860,33752
76451285,32427,34470
76453865,32740,33794
76456441,32860,33331
76459018,32929,34158
76461594,33947,34572
76464173,33610,34003
76466750,33563,33594
76469327,32637,33952
76471904,32842,34188
76474483,34015,34465
76477062,33480,34100
