Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
63145419,63147392,33540,33102
63149047,63151018,33360,32829
63152671,63154642,33034,33021
63156295,63158267,32938,33745
63163815,63165788,32288,34198
63167441,63169413,33620,34223
63171068,63173041,33240,34548
63174694,63176667,32836,33631
63178321,63180294,32648,34549
63181947,63183918,33938,33073
63185572,63187543,33656,33329
63189195,63191166,32949,34089
63192819,63194792,33862,33700
63196445,63198415,33565,33278
63200070,63202040,33192,34284
63203693,63205666,33081,33722
63207319,63209292,32170,33123
63210946,63212917,33367,33119
63214571,63216542,34079,33693
63218196,63220167,33683,33650
63221820,63223792,32995,34568
63229323,63231296,33542,33814
63232950,63234921,33078,34015
63236574,63238547,33073,33664
63240199,63242172,33166,33426
63243825,63245797,32868,33077
63247451,63249423,33442,34305
63251077,63253050,33121,34472
63254703,63256677,32667,34048
63258330,63260301,33981,33429
63261955,63263928,33162,32677
63265582,63267556,33320,32359
63269209,63271182,33694,34289
63272835,63274806,33562,33591
63276460,63278433,33865,34151
63280088,63282061,33743,34147
63283714,63285687,32946,33864
63291084,63293056,32810,34641
63294709,63296680,32760,34218
63298334,63300305,33683,34401
63301959,63303930,33896,34167
63305584,63307557,33992,33303
63309211,63311186,33230,33984
63312838,63314807,33305,34039
63316460,63318432,33993,34637
63320087,63322060,34020,33548
63323713,63325686,32830,34617
63327339,63329311,33589,34490
63330964,63332935,33932,33829
63334589,63336560,33261,34511
63338212,63340186,34015,34041
63341839,63343809,33487,34228
63345462,63347436,33573,34165
63349090,63351065,34029,34316
63356549,63358521,33115,34443
63360174,63362145,32485,34004
63363797,63365770,33183,34266
63367424,63369398,32730,32693
63371053,63373025,33631,33568
63374678,63376650,32341,32442
63378304,63380276,33880,34004
63381929,63383901,33708,34197
63385554,63387526,33521,33676
63389181,63391154,33909,34195
63392807,63394778,33246,33838
63396431,63398402,33841,34093
63400056,63402027,33137,33839
63403680,63405652,33154,34531
63407306,63409279,33369,34618
63410932,63412904,33192,33342
63418433,63420404,33076,32638
63422059,63424031,32925,34059
63425683,63427656,32755,34131
63429309,63431282,33550,33538
63432935,63434906,33010,33159
63436560,63438533,33097,34317
63440186,63442159,33412,32364
63443813,63445786,33560,34043
63447440,63449411,34001,34129
63451066,63453038,33066,34474
63454691,63456664,32903,33579
63458317,63460289,33793,34278
63461942,63463913,33242,34312
63465567,63467538,33115,33631
63469190,63471163,32694,34008
63472816,63474789,32893,34466
63476442,63478413,32543,33347
63483946,63485918,33276,32370
63487573,63489544,33886,34204
63491198,63493171,33739,34577
63494824,63496794,33258,34571
63498447,63500417,33928,33754
63502072,63504043,33225,33163
63505696,63507669,33206,33547
63509323,63511296,33555,34265
63512948,63514919,33267,33737
63516572,63518542,33479,33719
63520195,63522165,33708,34024
63523818,63525792,33148,33366
63527445,63529415,33293,34255
63531070,63533042,34008,33710
63534695,63536667,33923,34175
63538321,63540294,33032,33777
63545807,63547777,32769,34516
63549430,63551402,33194,34310
63553057,63555029,32919,33421
63556682,63558655,33238,34064
63560308,63562281,33203,33439
63563934,63565905,33041,34053
63567559,63569532,33225,34591
63571187,63573159,34027,34400
63574812,63576786,33250,33248
63578440,63580411,33690,34645
63582066,63584038,32830,33944
63585691,63587663,32785,33860
63589317,63591288,31486,33614
63592942,63594913,33386,33850
63596567,63598538,33999,33669
63600192,63602163,33310,34150
63603816,63605788,33113,34270
63611304,63613276,33985,34152
63614929,63616900,32792,34247
63618553,63620525,32535,34550
63622178,63624149,32927,33433
63625802,63627776,33401,33713
63629430,63631400,33843,33883
63633055,63635027,33237,34527
63636680,63638652,33216,34466
63640305,63642278,33637,34273
63643931,63645903,33365,33417
63647557,63649529,33105,33027
63651183,63653155,33933,33620
63654808,63656779,33608,34170
63658432,63660400,33458,33524
63662055,63664027,33188,33631
63665680,63667653,34093,34317
63673178,63675149,33209,32432
63676802,63678776,32704,34239
63680430,63682400,33113,33879
63684055,63686027,32150,33817
63687680,63689653,33878,34134
63691306,63693279,33906,33433
63694932,63696904,33569,33854
63698556,63700528,34032,33893
63702182,63704155,34086,34433
63705809,63707780,33384,33427
63709434,63711404,33704,33978
63713059,63715030,33618,33532
63716683,63718656,33258,34334
63720308,63722281,32676,33664
63723935,63725906,33034,33943
63727560,63729533,33310,33526
63731186,63733159,33459,33794
63738681,63740656,33760,34229
63742309,63744281,32775,33999
63745935,63747906,33960,34164
63749559,63751532,32951,33468
63753186,63755159,33775,34587
63756812,63758784,33931,34139
63760436,63762408,33697,34181
63764062,63766033,33710,34575
63767687,63769657,34053,33700
63771310,63773284,32537,34082
63774937,63776907,33080,33868
63778560,63780533,33612,34444
63782186,63784159,33419,33896
63785812,63787785,31959,33168
63789438,63791409,33224,33897
63793064,63795036,32476,33462
63800434,63802405,33945,34169
63804060,63806032,33636,33535
63807686,63809657,33400,33406
63811310,63813284,33331,34035
63814937,63816907,32748,34450
63818560,63820532,33009,33873
63822185,63824158,33272,33780
63825811,63827784,33006,34054
63829438,63831409,33398,34211
63833065,63835036,33234,34146
63836689,63838663,33478,33994
63840318,63842289,33095,34458
63843942,63845913,32612,34208
63847566,63849538,33479,34485
63851191,63853163,33594,34241
63854817,63856790,33243,33457
63858443,63860415,33641,33535
63865911,63867884,32879,33697
63869537,63871508,33258,33695
63873162,63875133,33501,33702
63876787,63878757,33320,33762
63880410,63882383,33562,34179
63884038,63886008,33903,34115
63887661,63889633,34034,33754
63891286,63893259,33752,33722
63894912,63896885,33539,34145
63898539,63900510,33390,34455
63902164,63904135,33238,32976
63905788,63907762,32693,32292
63909415,63911384,32167,34312
63913039,63915010,32872,34577
63916663,63918634,33602,33470
63920287,63922262,33520,33682
63923916,63925889,33037,32475
63931474,63933445,33259,34546
63935100,63937073,33787,34254
63938727,63940698,32438,33749
63942351,63944322,33633,33664
63945975,63947948,33777,33892
63949601,63951574,33162,33794
63953227,63955201,33624,33399
63956854,63958827,33665,33921
63960480,63962453,32974,34118
