Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
57250371,57252342,33816,32443
57253995,57255968,33835,34255
57257621,57259595,32906,34653
57261248,57263218,33744,34008
57264871,57266844,31708,33966
57268498,57270471,32819,34551
57272126,57274099,33156,34061
57275752,57277723,32781,33851
57279377,57281350,33241,34369
57283006,57284977,33245,32885
57286631,57288601,33534,32905
57290254,57292225,34028,32951
57293879,57295852,32604,33912
57297506,57299481,33644,34463
57305005,57306976,33914,33738
57308629,57310599,33651,33905
57312252,57314223,33821,34695
57315877,57317849,33738,33857
57319503,57321476,34001,33548
57323131,57325104,34126,34236
57326757,57328731,32820,34280
57330385,57332359,32309,33470
57334014,57335987,33099,33700
57337641,57339612,33387,33723
57341265,57343239,33441,34191
57344892,57346865,33595,33798
57348517,57350491,33165,34173
57352145,57354116,33207,33184
57355769,57357740,33094,34446
57359394,57361368,33625,33889
57366903,57368875,33929,33021
57370527,57372499,34149,33080
57374153,57376125,33411,34000
57377779,57379751,32847,32969
57381405,57383378,33709,33795
57385032,57387004,33545,34074
57388657,57390630,33543,33539
57392283,57394256,33938,33525
57395909,57397879,33409,33686
57399531,57401502,33847,33796
57403156,57405127,33243,34315
57406781,57408754,33159,34347
57410407,57412381,33643,33705
57414036,57416006,33484,33027
57417659,57419631,33578,34107
57421284,57423256,33657,34459
57424910,57426883,33111,32922
57432416,57434387,33275,34058
57436042,57438012,33167,34051
57439665,57441636,32814,33672
57443289,57445262,33173,33173
57446915,57448888,33253,33939
57450541,57452512,32802,34090
57454165,57456138,33495,34565
57457792,57459765,33250,33634
57461418,57463390,33933,34344
57465045,57467017,33580,34481
57468670,57470641,33504,34331
57472294,57474265,33492,33896
57475917,57477890,33018,34080
57479544,57481515,33908,34161
57483169,57485139,33979,34128
57486791,57488764,33504,34475
57494282,57496255,32772,33875
57497908,57499879,33222,34179
57501533,57503504,33807,33931
57505158,57507129,33354,33296
57508783,57510754,33640,33647
57512407,57514380,32698,34080
57516034,57518005,33589,33237
57519659,57521632,33876,34613
57523286,57525258,33189,32873
57526912,57528885,33429,32932
57530539,57532510,33151,33419
57534164,57536135,33745,33778
57537788,57539762,33252,33083
57541415,57543385,33610,33478
57545040,57547010,33903,33678
57548663,57550634,32711,34360
57552287,57554262,33551,33847
57559779,57561752,33721,34079
57563405,57565378,33271,34013
57567033,57569004,33667,34048
57570657,57572629,33828,34056
57574282,57576254,32943,33729
57577907,57579876,33941,34298
57581529,57583501,33238,33793
57585155,57587126,34016,34159
57588779,57590753,33902,34021
57592406,57594379,33363,33553
57596034,57598005,33123,33426
57599658,57601631,33708,34469
57603284,57605256,33006,34387
57606910,57608883,33660,33351
57610536,57612508,33098,34018
57614161,57616133,33547,34215
57621664,57623635,33040,34035
57625288,57627262,33236,33406
57628914,57630888,33562,33823
57632540,57634512,33232,34344
57636165,57638138,33917,34176
57639791,57641764,34031,34263
57643417,57645388,33617,33563
57647042,57649014,32961,33283
57650666,57652638,32997,33776
57654291,57656262,33888,32382
57657914,57659888,33654,34382
57661541,57663512,33154,34287
57665166,57667139,32701,33082
57668791,57670764,33832,33270
57672417,57674390,32844,33977
57676045,57678016,33064,33424
57679668,57681640,33412,34478
57687165,57689138,33204,33939
57690792,57692764,32881,33502
57694417,57696386,32519,34010
57698040,57700012,32763,33132
57701664,57703635,33362,33813
57705288,57707262,33624,34625
